word,occurrence
which,0.0024305603723041
their,0.0016645437199622
would,0.0014178042369894
other,0.0013338636467233
about,0.001053331636358
there,0.0010201328946277
these,0.0009439452691003
could,0.000813898287015
first,0.0007260849990416
under,0.0006914596998831
where,0.0005988668883219
after,0.0005950968305114
those,0.0005867902899626
years,0.0005703521595569
being,0.0005071258853422
shall,0.0004885253004613
three,0.000424302710453
state,0.0004193688358645
right,0.0003811305575072
order,0.0003703840600792
found,0.000367696727626
water,0.0003609871328808
while,0.0003412718698382
world,0.00032828798634
given,0.0003256359416991
might,0.0003220393863739
still,0.0003193967195693
small,0.0003132728044874
place,0.0003061436198186
power,0.0003001108730677
large,0.0002989350369898
point,0.0002967597689712
level,0.0002915868870331
study,0.000288727072766
think,0.0002886098818271
since,0.0002778865437721
group,0.0002774764804053
value,0.0002647630189312
using,0.0002600179030559
never,0.0002568690985208
great,0.0002544925612164
often,0.0002541407058015
means,0.0002496102525037
women,0.0002461245917947
again,0.0002439171663718
every,0.0002424928132677
above,0.0002410466049332
local,0.0002409394166897
until,0.0002335104261874
going,0.0002331612282432
among,0.0002288377852528
human,0.0002262265636818
total,0.0002240526094101
least,0.0002228560327785
later,0.0002143456909107
taken,0.0002123707509599
court,0.0002112215707893
early,0.0002109502509119
model,0.000205572919076
known,0.0002038097492186
major,0.0002037339250091
terms,0.0002036724428762
shown,0.0001898698968579
field,0.0001898425453691
times,0.0001829134632134
light,0.0001799371020752
along,0.0001789049452054
basis,0.0001781095976184
whole,0.0001769239048007
words,0.0001734528411179
child,0.0001733487061574
range,0.0001602814315992
class,0.0001598747150273
house,0.0001596408784098
money,0.0001595185659243
short,0.0001557247055461
issue,0.0001546514044457
costs,0.0001542032200086
sense,0.0001520004105987
young,0.000151638490206
clear,0.0001499884334043
lower,0.0001481044701358
needs,0.0001479756142362
death,0.0001465991490113
party,0.0001463873477769
force,0.0001428070497058
trade,0.0001418881039717
cases,0.0001411414441915
paper,0.0001401521693333
whose,0.0001384442925336
third,0.000138226954441
price,0.0001375764567637
white,0.0001374355674488
space,0.0001374197429686
cause,0.0001369951406377
below,0.0001356115438102
thing,0.000133487026178
began,0.0001329048810293
close,0.0001303426572121
rates,0.0001295802641107
night,0.0001294332237739
woman,0.0001275743184669
quite,0.000126414191036
black,0.000125841240515
hours,0.0001240111753577
shows,0.0001229290543415
seems,0.0001200898099341
table,0.0001194152914104
final,0.0001155247092538
today,0.0001151219723396
forms,0.0001144620237755
makes,0.0001142724591773
heart,0.0001140106494131
types,0.0001136901875725
rules,0.0001129786742967
basic,0.0001127168505627
doing,0.0001107298409624
blood,0.0001105603737232
hands,0.0001072826822201
legal,0.0001061148919689
parts,0.0001058564404956
staff,0.0001051861277665
plant,0.0001051859213475
lines,0.0001043782838678
funds,0.0001029525900958
front,0.0001021864041103
story,0.0001013023016275
prior,0.0001006052034063
works,0.0001003229145135
leave,0.00009871766029391438
stage,0.0000982419794308953
added,0.00009769780896861518
heard,0.00009754018014064058
units,0.00009632807814341504
share,0.00009453205551835708
alone,0.00009382605538121424
title,0.00009299557947088032
phase,0.00009275952950702048
voice,0.0000918138582346728
claim,0.000090863999503199
scale,0.0000907639681827277
equal,0.00009071983949979768
books,0.00008947255302324756
bring,0.00008860245885443874
month,0.00008828727099171375
board,0.00008824088843539357
noted,0.00008793275206699036
trial,0.00008666328569233883
allow,0.00008620703410997522
start,0.00008551543694920838
asked,0.00008487282350240723
labor,0.0000846522775827907
occur,0.00008460179997200612
apply,0.00008434277042397298
sound,0.00008412053401116282
image,0.00008219018061936367
goods,0.00008105658198473976
plans,0.00008068509851000272
stock,0.00008019724271434824
cross,0.00007955207285704092
offer,0.00007923829281935468
sales,0.00007878428543335758
moved,0.00007824181848263834
music,0.0000780320401827339
comes,0.0000772721333487425
takes,0.00007666485238587484
event,0.0000762960864813067
gives,0.00007594037073431537
built,0.00007560648082289844
fully,0.00007461393237463198
tried,0.00007378195434284862
cover,0.00007360607167356648
focus,0.00007214009583549341
serve,0.00007115213884389959
